player_id	last_name	first_name	team	position	total_games	total_score	average_score	price	breakeven	projected_score	projected_price	projected_price_change	active	
1	Arthars	Jesse	BRO	CTW	3	252	84	459400	-14	71	528600	69200	True	
2	Baker	Fletcher	BRO	FRF	0	0	0	355700	37	27	355700	0	True	
3	Black	Coby	BRO	HFB	0	0	0	198800	21	20	198800	0	True	
4	Bryce	Jett	BRO	2RF	0	0	0	198800	21	20	198800	0	True	
5	Bukowski	Cameron	BRO	HOK	0	0	0	198800	21	20	198800	0	True	
6	Carrigan	Patrick	BRO	2RF	3	209	69.6667	649000	87	70	635100	-13900	True	
7	Cobbo	Selwyn	BRO	CTW	3	169	56.3333	548100	88	59	524900	-23200	True	
8	Gosiewski	Jack	BRO	2RF	3	116	38.6667	267700	34	30	264600	-3100	True	
9	Haas	Payne	BRO	FRF	3	343	114.333	777600	4	101	856100	78500	True	
10	Hetherington	Kobe	BRO	2RF	3	132	44	359900	36	42	365100	5200	True	
11	Hoeter	Delouise	BRO	CTW	0	0	0	232600	24	42	232600	0	True	
12	Hunt	Ben	BRO	5/8	3	168	56	586500	97	63	559200	-27300	True	
13	Hunt	Jaiyden	BRO	2RF	0	0	0	242800	25	29	242800	0	True	
14	Jensen	Corey	BRO	FRF	3	115	38.3333	481700	69	45	462500	-19200	True	
15	Leota	Israel	BRO	CTW	0	0	0	198800	21	20	198800	0	True	
16	Madden	Jock	BRO	HFB	0	0	0	467900	49	36	467900	0	True	
17	Mam	Ezra	BRO	5/8	0	0	0	494600	52	38	494600	0	True	
18	Mariner	Deine	BRO	CTW	3	178	59.3333	539800	47	57	548000	8200	True	
19	Mozer	Blake	BRO	HOK	0	0	0	312000	33	34	312000	0	True	
20	Paix	Cory	BRO	HOK	3	138	46	285500	7	39	311200	25700	True	
21	Perham	Hayze	BRO	CTW	0	0	0	294600	31	36	294600	0	True	
22	Piakura	Brendan	BRO	2RF	3	38	12.6667	331100	55	20	303000	-28100	True	
23	Reynolds	Adam	BRO	HFB	3	294	98	612200	3	53	653200	41000	True	
24	Riki	Jordan	BRO	2RF	3	179	59.6667	497200	43	50	503200	6000	True	
25	Rogers	Josh	BRO	5/8	0	0	0	390600	41	39	390600	0	True	
26	Semu	VJ	BRO	FRF	0	0	0	198800	21	20	198800	0	True	
27	Smoothy	Tyson	BRO	HOK	0	0	0	369300	39	42	369300	0	True	
28	Staggs	Kotoni	BRO	CTW	0	0	0	514200	54	58	514200	0	True	
29	Taupau	Martin	BRO	FRF	0	0	0	353900	37	33	353900	0	True	
30	Te Kura	Benjamin	BRO	FRF	0	0	0	232600	24	27	232600	0	True	
31	Trew	Bailey	BRO	FLB	0	0	0	198800	21	20	198800	0	True	
32	Walsh	Reece	BRO	FLB	3	159	53	679900	149	54	603000	-76900	True	
33	Walters	Billy	BRO	HOK	3	80	26.6667	355800	76	31	319000	-36800	True	
34	Willison	Xavier	BRO	FRF	3	97	32.3333	412700	70	42	389800	-22900	True	
35	Alatini	Sosaia	BUL	2RF	0	0	0	198800	21	20	198800	0	True	
36	Amone	Tom	BUL	FRF	0	0	0	232600	24	24	232600	0	True	
37	Burton	Matt	BUL	5/8	2	105	52.5	648700	98	46	606500	-42200	True	
38	Crichton	Stephen	BUL	CTW	3	113	37.6667	477700	56	39	463600	-14100	True	
39	Curran	Joshua	BUL	2RF	2	127	63.5	546900	44	61	560500	13600	True	
40	Hayes	Harry	BUL	CTW	3	137	45.6667	386900	30	43	397400	10500	True	
41	Hayward	Bailey	BUL	2RF	3	96	32	302400	14	35	319700	17300	True	
42	Hopoi	Lipoi	BUL	2RF	0	0	0	232600	24	19	232600	0	True	
43	Hughes	Samuel	BUL	FRF	0	0	0	355700	37	34	355700	0	True	
44	Hutchison	Drew	BUL	HFB	0	0	0	412600	43	39	412600	0	True	
45	Kautoga	Kitione	PAR	2RF	2	65	32.5	232600	8	20	242500	9900	True	
46	Kikau	Viliame	BUL	2RF	2	174	87	523300	-10	58	578600	55300	True	
47	King	Max	BUL	FRF	3	170	56.6667	559900	59	52	554100	-5800	True	
48	Kiraz	Jacob	BUL	CTW	0	0	0	702800	73	42	702800	0	True	
49	Mahoney	Reed	BUL	HOK	3	135	45	529500	51	51	529700	200	True	
50	Mann	Kurt	BUL	2RF	3	133	44.3333	419000	40	47	424600	5600	True	
51	Montoya	Marcelo	BUL	CTW	3	172	57.3333	444500	24	49	464700	20200	True	
52	Morrin	Kurtis	BUL	2RF	1	18	18	299900	45	38	299900	0	True	
53	O'Neill	Joseph	BUL	HFB	0	0	0	198800	21	20	198800	0	True	
54	Oloapu	Karl	BUL	5/8	0	0	0	232600	24	27	232600	0	True	
55	Preston	Jacob	BUL	2RF	3	162	54	586000	70	52	571100	-14900	True	
56	Salmon	Jaeman	BUL	2RF	3	127	42.3333	417900	35	41	423000	5100	True	
57	Seve	Fanafou	BUL	FRF	0	0	0	198800	21	20	198800	0	True	
58	Sexton	Toby	BUL	HFB	3	124	41.3333	459500	62	36	438600	-20900	True	
59	Spinks	Logan	BUL	2RF	0	0	0	198800	21	20	198800	0	True	
60	Sua	Jonathan	BUL	CTW	0	0	0	232600	24	24	232600	0	True	
