team	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	BYEs	Gap-R0-B1	Gap-B1-B2	Gap-B2-B3	Gap-B3-END	TOTAL_GAP_LENGTH	
BRO	SYD	CBR	NQC	DOL	WST	SYD	NZL	BUL	PTH	STH	STG	BYE	MNL	GCT	BYE	SHA	NZL	BUL	GCT	BYE	PAR	STH	MEL	DOL	NEW	NQC	MEL	[12, 15, 20]	11	3	5	7	19	
BUL	STG	GCT	PAR	SHA	NEW	BYE	STH	BRO	GCT	CBR	SYD	DOL	BYE	PAR	STH	BYE	PTH	BRO	NQC	STG	MNL	WST	NZL	SYD	MEL	PTH	SHA	[6, 13, 16]	5	7	3	11	15	
CBR	NZL	BRO	MNL	NQC	SHA	PAR	GCT	DOL	MEL	BUL	GCT	NZL	SYD	STH	BYE	WST	NEW	STG	BYE	PAR	NEW	STG	MNL	BYE	PTH	WST	DOL	[15, 19, 24]	14	4	5	3	23	
DOL	STH	NEW	WST	BRO	GCT	PTH	MEL	CBR	SYD	PAR	NZL	BUL	BYE	STG	NQC	NEW	STH	BYE	SHA	NQC	BYE	NZL	SYD	BRO	MNL	GCT	CBR	[13, 18, 21]	12	5	3	6	20	
GCT	BYE	BUL	NEW	SYD	DOL	STG	CBR	NQC	BUL	NEW	CBR	BYE	MEL	BRO	MNL	PAR	NQC	BYE	BRO	WST	NZL	PTH	STH	SHA	NZL	DOL	WST	[1, 12, 18]	0	11	6	9	17	
MEL	PAR	BYE	PTH	STG	MNL	NZL	DOL	STH	CBR	WST	SHA	BYE	GCT	NQC	BYE	STH	SHA	NQC	NEW	MNL	SYD	PAR	BRO	PTH	BUL	SYD	BRO	[2, 12, 15]	1	10	3	12	14	
MNL	NQC	NZL	CBR	PAR	MEL	SHA	STG	PTH	BYE	SHA	NQC	PAR	BRO	NEW	GCT	BYE	WST	STH	BYE	MEL	BUL	SYD	CBR	WST	DOL	STG	NZL	[9, 16, 19]	8	7	3	8	18	
NEW	WST	DOL	GCT	BYE	BUL	WST	SHA	NZL	STH	GCT	PAR	PTH	STG	MNL	SYD	DOL	CBR	BYE	MEL	NZL	CBR	BYE	PTH	NQC	BRO	SHA	PAR	[4, 18, 22]	3	14	4	5	21	
NQC	MNL	SHA	BRO	CBR	PTH	STH	BYE	GCT	NZL	PTH	MNL	BYE	WST	MEL	DOL	SYD	GCT	MEL	BUL	DOL	STG	SHA	PAR	NEW	WST	BRO	BYE	[7, 12, 27]	6	5	15	0	26	
NZL	CBR	MNL	SYD	WST	BYE	MEL	BRO	NEW	NQC	STG	DOL	CBR	STH	SHA	BYE	PTH	BRO	BYE	WST	NEW	GCT	DOL	BUL	STG	GCT	PAR	MNL	[5, 15, 18]	4	10	3	9	17	
PAR	MEL	WST	BUL	MNL	STG	CBR	WST	BYE	SHA	DOL	NEW	MNL	PTH	BUL	BYE	GCT	STG	BYE	PTH	CBR	BRO	MEL	NQC	STH	SYD	NZL	NEW	[8, 15, 18]	7	7	3	9	17	
PTH	SHA	SYD	MEL	STH	NQC	DOL	SYD	MNL	BRO	NQC	BYE	NEW	PAR	WST	BYE	NZL	BUL	BYE	PAR	STH	WST	GCT	NEW	MEL	CBR	BUL	STG	[11, 15, 18]	10	4	3	9	17	
SHA	PTH	NQC	STH	BUL	CBR	MNL	NEW	WST	PAR	MNL	MEL	SYD	BYE	NZL	STG	BRO	MEL	BYE	DOL	SYD	STH	NQC	STG	GCT	BYE	NEW	BUL	[13, 18, 25]	12	5	7	2	24	
STG	BUL	STH	BYE	MEL	PAR	GCT	MNL	SYD	WST	NZL	BRO	BYE	NEW	DOL	SHA	BYE	PAR	CBR	SYD	BUL	NQC	CBR	SHA	NZL	STH	MNL	PTH	[3, 12, 16]	2	9	4	11	15	
STH	DOL	STG	SHA	PTH	SYD	NQC	BUL	MEL	NEW	BRO	WST	BYE	NZL	CBR	BUL	MEL	DOL	MNL	BYE	PTH	SHA	BRO	GCT	PAR	STG	BYE	SYD	[12, 19, 26]	11	7	7	1	25	
SYD	BRO	PTH	NZL	GCT	STH	BRO	PTH	STG	DOL	BYE	BUL	SHA	CBR	BYE	NEW	NQC	BYE	WST	STG	SHA	MEL	MNL	DOL	BUL	PAR	MEL	STH	[10, 14, 17]	9	4	3	10	16	
WST	NEW	PAR	DOL	NZL	BRO	NEW	PAR	SHA	STG	MEL	STH	BYE	NQC	PTH	BYE	CBR	MNL	SYD	NZL	GCT	PTH	BUL	BYE	MNL	NQC	CBR	GCT	[12, 15, 23]	11	3	8	4	22	
